,GS,IP,H,R,ER,BB,SO,HR,HBP,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Date,Team,Home_Away
0,6.0,49.3,49.0,27.0,25.0,21.0,53.0,6.0,4.0,199.0,13.0,1.0,0.0,5.0,3.0,4.0,2.0,1.0,227.0,2022-04-17,MIA,0
0,7.0,56.5,47.0,21.0,20.0,21.0,57.0,6.0,2.0,218.0,8.0,1.0,0.0,7.0,1.0,3.0,1.0,0.0,243.0,2022-04-17,SEA,0
0,7.0,57.8,50.0,26.0,22.0,31.0,59.0,5.0,4.0,231.0,10.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,270.0,2022-04-17,MIL,0
0,7.0,57.599999999999994,50.0,18.0,16.0,24.0,70.0,5.0,3.0,238.0,9.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,268.0,2022-04-17,NYA,0
0,6.0,51.2,37.0,11.0,11.0,19.0,57.0,1.0,3.0,191.0,10.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,215.0,2022-04-17,SFN,0
0,7.0,55.1,57.0,40.0,40.0,31.0,55.0,6.0,10.0,226.0,11.0,6.0,1.0,7.0,4.0,3.0,1.0,0.0,272.0,2022-04-17,PHI,0
0,6.0,50.2,42.0,26.0,24.0,20.0,54.0,6.0,1.0,200.0,6.0,0.0,2.0,2.0,1.0,5.0,2.0,0.0,222.0,2022-04-17,LAA,0
0,6.0,48.4,45.0,31.0,26.0,19.0,54.0,9.0,5.0,203.0,12.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,227.0,2022-04-17,CLE,0
0,7.0,57.5,60.0,36.0,31.0,22.0,65.0,7.0,5.0,239.0,11.0,0.0,0.0,3.0,2.0,5.0,1.0,1.0,269.0,2022-04-17,ATL,0
0,6.0,48.099999999999994,42.0,22.0,22.0,23.0,61.0,5.0,3.0,192.0,11.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,220.0,2022-04-17,BOS,0
0,6.0,49.89999999999999,47.0,30.0,28.0,20.0,44.0,8.0,1.0,199.0,12.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0,225.0,2022-04-17,MIN,0
0,6.0,50.2,45.0,21.0,15.0,13.0,42.0,3.0,1.0,200.0,11.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,218.0,2022-04-16,DET,1
0,6.0,50.099999999999994,62.0,27.0,25.0,23.0,36.0,4.0,2.0,213.0,18.0,1.0,2.0,10.0,1.0,0.0,1.0,3.0,240.0,2022-04-17,COL,0
0,5.0,41.0,36.0,22.0,21.0,24.0,36.0,3.0,6.0,159.0,6.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,193.0,2022-04-17,HOU,0
0,6.0,51.2,25.0,9.0,8.0,15.0,62.0,2.0,3.0,185.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,203.0,2022-04-17,LAN,0
0,6.0,50.5,48.0,22.0,22.0,29.0,43.0,4.0,2.0,201.0,8.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,234.0,2022-04-17,PIT,0
0,5.0,39.1,37.0,21.0,19.0,22.0,23.0,7.0,2.0,161.0,4.0,0.0,1.0,3.0,5.0,5.0,1.0,0.0,190.0,2022-04-17,ARI,0
0,6.0,46.800000000000004,55.0,28.0,28.0,19.0,47.0,7.0,0.0,201.0,11.0,2.0,0.0,4.0,2.0,1.0,1.0,1.0,222.0,2022-04-17,CHN,0
0,6.0,49.1,45.0,24.0,21.0,24.0,63.0,5.0,3.0,205.0,11.0,0.0,1.0,0.0,1.0,6.0,0.0,2.0,233.0,2022-04-17,CHA,0
