,Date,Team,Opp,Home_Away,PA_Bat,AB_Bat,R_Bat,H_Bat,2B_Bat,3B_Bat,HR_Bat,RBI_Bat,BB_Bat,IBB_Bat,SO_Bat,HBP_Bat,SH_Bat,SF_Bat,GDP_Bat,SB_Bat,CS_Bat
0,"Apr 13, 2022",LAN,MIN,1,44,38,7,11,3,0,4,7,4,0,7,1,0,1,0,1,0
0,"Apr 13, 2022",SFN,SDN,0,29,27,2,4,2,0,0,2,2,0,11,0,0,0,1,0,0
0,"Apr 13, 2022",BAL,MIL,0,36,30,2,5,1,0,0,2,3,0,10,2,0,1,0,0,0
0,"Apr 13, 2022",TOR,NYA,1,38,35,6,8,2,0,3,6,2,0,7,0,0,0,0,0,0
0,"Apr 13, 2022",PHI,NYN,0,42,34,6,9,2,0,1,6,6,0,11,1,0,1,0,0,0
0,"Apr 13, 2022",CLE,CIN,1,46,40,7,13,2,0,4,7,4,0,10,2,0,0,0,1,0
0,"Apr 13, 2022",CHN,PIT,1,35,32,2,6,1,0,1,2,3,0,9,0,0,0,1,0,0
0,"Apr 13, 2022",SEA,CHA,1,36,35,4,8,2,0,1,4,1,0,12,0,0,0,0,0,0
0,"Apr 13, 2022",NYA,TOR,0,39,36,4,10,2,0,3,4,3,0,9,0,0,0,1,0,0
0,"Apr 13, 2022",PIT,CHN,0,35,30,6,8,1,1,1,6,5,0,9,0,0,0,1,0,0
0,"Apr 14, 2022",SDN,ATL,0,48,40,12,16,3,0,2,12,5,0,6,2,0,1,1,3,0
0,"Apr 14, 2022",CHA,SEA,0,33,32,1,4,0,0,0,1,1,0,9,0,0,0,0,0,0
0,"Apr 14, 2022",MIL,SLN,0,36,33,5,9,2,1,1,5,3,0,11,0,0,0,0,2,0
0,"Apr 14, 2022",LAA,TEX,1,42,36,5,11,4,0,2,5,6,0,12,0,0,0,1,0,0
0,"Apr 14, 2022",MIA,PHI,0,34,29,4,6,1,1,1,4,5,0,8,0,0,0,1,0,0
0,"Apr 14, 2022",LAN,CIN,0,39,36,9,14,1,0,1,8,3,0,7,0,0,0,2,1,0
0,"Apr 14, 2022",ATL,SDN,1,32,32,1,6,1,0,1,1,0,0,9,0,0,0,1,0,0
0,"Apr 14, 2022",OAK,TBA,1,38,35,6,9,2,0,0,3,3,0,12,0,0,0,1,0,0
0,"Apr 14, 2022",CIN,LAN,1,35,32,3,6,1,0,2,3,3,0,6,0,0,0,0,0,1
0,"Apr 14, 2022",SLN,MIL,1,33,30,1,5,0,0,1,1,1,0,5,0,1,0,0,0,1
0,"Apr 14, 2022",TBA,OAK,0,33,33,3,7,2,0,1,3,0,0,4,0,0,0,0,0,0
0,"Apr 14, 2022",DET,KCR,1,36,32,4,9,0,0,0,4,2,0,5,1,0,1,2,0,0
0,"Apr 14, 2022",WSN,PIT,1,41,34,4,8,0,0,0,4,6,0,11,0,0,1,0,0,0
0,"Apr 14, 2022",KCR,DET,0,37,34,2,7,0,2,0,2,3,0,6,0,0,0,0,3,0
0,"Apr 14, 2022",TOR,NYA,1,38,31,0,5,1,0,0,0,5,0,11,2,0,0,1,0,0
0,"Apr 14, 2022",COL,CHN,0,41,37,2,10,1,0,0,2,4,0,7,0,0,0,1,0,0
0,"Apr 14, 2022",PHI,MIA,1,39,35,3,11,3,0,0,3,2,0,6,1,0,1,2,1,0
0,"Apr 14, 2022",TEX,LAA,0,42,39,10,13,2,0,2,9,3,1,7,0,0,0,1,0,0
0,"Apr 14, 2022",SEA,CHA,1,42,35,5,7,1,0,3,5,6,0,8,1,0,0,0,3,0
0,"Apr 14, 2022",NYA,TOR,0,32,31,3,8,2,0,0,3,1,0,10,0,0,0,1,1,0
0,"Apr 14, 2022",CHN,COL,1,36,33,5,10,3,0,1,4,2,0,4,1,0,0,4,0,0
0,"Apr 14, 2022",PIT,WSN,0,46,37,9,14,2,1,2,9,8,0,12,0,0,1,0,2,0
0,"Apr 15, 2022",SDN,ATL,0,34,33,2,6,2,0,0,2,0,0,16,1,0,0,0,1,0
0,"Apr 15, 2022",CHA,TBA,0,30,30,3,6,2,0,1,2,0,0,6,0,0,0,0,1,0
0,"Apr 15, 2022",MIL,SLN,0,36,33,1,6,0,0,0,1,2,0,8,1,0,0,0,0,0
0,"Apr 15, 2022",LAA,TEX,1,39,36,9,11,1,0,5,9,2,0,12,0,0,1,1,1,0
0,"Apr 15, 2022",MIA,PHI,0,39,32,7,11,4,2,0,7,4,0,8,1,0,2,0,1,0
0,"Apr 15, 2022",ATL,SDN,1,39,35,5,9,2,0,1,4,4,0,9,0,0,0,1,0,0
0,"Apr 15, 2022",ARI,NYN,1,35,29,3,3,2,0,1,3,5,0,11,1,0,0,0,0,1
0,"Apr 15, 2022",NYN,ARI,0,41,34,10,12,1,0,4,10,4,0,5,1,0,2,0,2,0
0,"Apr 15, 2022",HOU,SEA,1,32,31,1,5,1,0,0,1,0,0,8,1,0,0,1,0,0
0,"Apr 15, 2022",OAK,TOR,1,33,33,1,6,1,0,0,1,0,0,11,0,0,0,0,1,0
0,"Apr 15, 2022",CIN,LAN,1,36,32,1,5,1,0,0,1,3,0,6,1,0,0,0,1,0
0,"Apr 15, 2022",SLN,MIL,1,46,40,10,14,2,0,2,10,5,0,7,1,0,0,1,1,0
0,"Apr 15, 2022",TBA,CHA,1,34,32,2,6,2,0,0,2,2,0,13,0,0,0,0,1,0
0,"Apr 15, 2022",MIN,BOS,1,44,34,8,9,4,0,1,8,8,0,13,2,0,0,1,2,1
0,"Apr 15, 2022",DET,KCR,1,32,30,2,3,1,0,1,2,2,0,7,0,0,0,0,0,0
0,"Apr 15, 2022",SFN,CLE,1,41,36,4,8,2,0,3,4,4,0,9,1,0,0,0,0,0
0,"Apr 15, 2022",WSN,PIT,1,42,35,7,10,2,0,0,7,6,0,5,1,0,0,1,1,0
0,"Apr 15, 2022",LAN,CIN,0,36,29,3,7,1,2,0,3,6,0,7,1,0,0,0,3,1
0,"Apr 15, 2022",BAL,NYA,0,47,36,2,6,1,0,0,2,10,1,9,0,1,0,0,0,0
0,"Apr 15, 2022",KCR,DET,0,33,33,1,5,1,0,0,1,0,0,11,0,0,0,0,0,0
0,"Apr 15, 2022",TOR,OAK,0,38,32,4,11,4,0,1,4,5,2,5,1,0,0,2,0,0
0,"Apr 15, 2022",COL,CHN,0,36,34,6,11,4,0,2,6,2,0,9,0,0,0,0,0,1
0,"Apr 15, 2022",BOS,MIN,0,34,34,4,8,2,0,2,4,0,0,13,0,0,0,1,0,0
0,"Apr 15, 2022",PHI,MIA,1,37,34,1,8,3,0,1,1,3,0,6,0,0,0,1,0,0
0,"Apr 15, 2022",TEX,LAA,0,41,34,6,8,1,0,0,5,5,1,10,1,0,1,0,3,0
0,"Apr 15, 2022",PIT,WSN,0,34,32,2,5,1,0,0,2,2,0,10,0,0,0,0,0,0
0,"Apr 15, 2022",CHN,COL,1,44,37,5,13,6,0,0,5,6,1,7,0,0,1,1,0,0
0,"Apr 15, 2022",SEA,HOU,0,44,33,11,13,2,1,1,11,8,0,4,2,0,1,2,0,1
0,"Apr 15, 2022",NYA,BAL,1,40,37,1,7,1,0,0,1,2,0,13,1,0,0,2,0,0
0,"Apr 15, 2022",CLE,SFN,0,32,28,1,3,2,0,0,1,2,0,10,1,0,1,1,0,0
0,"Apr 16, 2022",SDN,ATL,0,32,31,2,4,0,0,2,2,1,0,11,0,0,0,0,0,0
0,"Apr 16, 2022",CHA,TBA,0,32,32,3,7,1,0,1,3,0,0,6,0,0,0,0,1,0
0,"Apr 16, 2022",MIL,SLN,0,31,31,1,5,1,0,1,1,0,0,10,0,0,0,1,1,0
0,"Apr 16, 2022",LAA,TEX,1,44,39,7,12,0,0,2,7,4,0,9,0,0,1,0,3,0
0,"Apr 16, 2022",MIA,PHI,0,37,33,3,8,2,0,2,3,4,0,7,0,0,0,2,0,0
0,"Apr 16, 2022",ATL,SDN,1,39,33,5,9,3,0,3,5,4,0,6,1,0,1,2,0,0
0,"Apr 16, 2022",ARI,NYN,1,40,36,3,9,2,0,1,3,4,2,16,0,0,0,0,2,0
0,"Apr 16, 2022",NYN,ARI,0,34,30,2,5,0,0,1,2,3,0,6,1,0,0,1,0,0
